swing_id,golfer_id,skill_level,club_type,age_capability_factor,career_stage,circadian_factor,club_path_confidence,club_path_consistency,club_speed_at_impact,compensation_severity,course_type_encoded,dominant_hand_encoded,early_cast_flag,early_extension_flag,elevation_m,env_difficulty_index,experience_engrainment,fitness_capability,fitness_level,gender_encoded,green_speed_stimp,height_m,hour_of_day,humidity_pct,kinematic_sequence_confidence,kinematic_sequence_score,lag_angle_impact,lag_angle_mid_downswing,lag_confidence,links_course_flag,normalized_distance_factor,over_top_flag,physical_profile_score,release_efficiency,reverse_pivot_flag,seq_consistency,seq_trend,session_fatigue,speed_trend,speed_variance_recent,sway_flag,swing_dominant_frequency,swing_tempo_ratio,temperature_c,temperature_efficiency,tempo_confidence,tempo_sequence_alignment,time_to_peak_speed,weight_transfer_confidence,weight_transfer_timing_ms,weighted_quality_score,wind_crosswind_component,wind_direction_deg,wind_headwind_component,wind_speed_mph,xfactor_confidence,xfactor_degrees,xfactor_max_ts,xfactor_rate_of_change,xfactor_timing,years_experience,ball_speed_mph,carry_distance_yards,offline_yards,injury_risk_score,clubhead_speed_mph
11,2,elite,driver,0.955,2,1.0,0.93,0.9383,5.484157218967921,0.0,0,1,0,0,1150.8,0.2675,1.0,1.06,9,0,11.57,1.76,11.2,70.4,0.95,0.9738,26.05,89.61,0.92,0,1.4724,0,1.0112,3.4399,0,0.948604397075236,-0.01579,5.285999999999987,0.8669999999999902,5.946470000000004,0,0.7228915662650602,2.5302,12.0,0.85,0.95,2.3917,0.0,0.9,-82.74,0.4869,-18.87,283.4,4.5,19.4,0.95,52.65,0.53003,0.0324799999999999,0.05116,21,97.96,164.34,2.5,0.0,115.18
12,2,elite,driver,0.955,2,1.0,0.93,0.9034,5.484157218967921,0.2,0,1,0,1,1150.8,0.2675,1.0,1.06,9,0,11.57,1.76,11.2,70.4,0.95,0.874,22.7,88.49,0.92,0,1.4724,0,1.0112,3.8982,0,0.948604397075236,-0.01579,5.285999999999987,0.8669999999999902,5.946470000000004,0,0.7142857142857143,2.6298,12.0,0.85,0.95,2.0344,0.0,0.9,-137.5,0.3933,-18.87,283.4,4.5,19.4,0.95,53.1,0.52295,0.0174199999999998,0.06799,21,91.64,151.82,7.64,0.1783,108.53
13,2,elite,driver,0.955,2,1.0,0.93,0.921,0.9180276837434892,0.0,0,1,0,0,1150.8,0.2675,1.0,1.06,9,0,11.57,1.76,11.2,70.4,0.95,0.8987,27.63,81.77,0.92,0,1.4724,0,1.0112,2.9595,0,0.948604397075236,-0.01579,5.285999999999987,0.8669999999999902,5.946470000000004,0,0.6666666666666666,2.8877,12.0,0.85,0.95,1.8701,0.0,0.9,-105.27,0.4494,-18.87,283.4,4.5,19.4,0.95,54.33,0.5198200000000001,0.02029,0.03391,21,101.98,174.68,2.53,0.0,119.85
14,2,elite,driver,0.955,2,1.0,0.93,0.9556,1.342429229557773,0.0,0,1,0,0,1150.8,0.2675,1.0,1.06,9,0,11.57,1.76,11.2,70.4,0.95,0.9149,28.86,89.24,0.92,0,1.4724,0,1.0112,3.0922,0,0.948604397075236,-0.01579,5.285999999999987,0.8669999999999902,5.946470000000004,0,0.6818181818181819,2.402,12.0,0.85,0.95,2.0014,0.0,0.9,-144.67,0.4575,-18.87,283.4,4.5,19.4,0.95,53.43,0.52266,0.0231499999999998,0.06779,21,100.09,165.64,5.37,0.0,118.03
15,2,elite,driver,0.955,2,1.0,0.93,0.9441,5.484157218967921,0.0,0,1,0,0,1150.8,0.2675,1.0,1.06,9,0,11.57,1.76,11.2,70.4,0.95,0.8641,32.63,80.3,0.92,0,1.4724,0,1.0112,2.4609,0,0.948604397075236,-0.01579,5.285999999999987,0.8669999999999902,5.946470000000004,0,0.6896551724137931,3.1455,12.0,0.85,0.95,1.6518,0.0,0.9,-96.19,0.432,-18.87,283.4,4.5,19.4,0.95,54.46,0.51873,0.0176,0.06761,21,103.1,176.15,2.98,0.0,118.22
16,2,elite,driver,0.955,2,1.0,0.93,0.9682,5.484157218967921,0.0,0,1,0,0,1150.8,0.2675,1.0,1.06,9,0,11.57,1.76,11.2,70.4,0.95,0.9379,32.62,81.29,0.92,0,1.4724,0,1.0112,2.492,0,0.948604397075236,-0.01579,5.285999999999987,0.8669999999999902,5.946470000000004,0,0.6593406593406593,2.8424,12.0,0.85,0.95,1.9859,0.0,0.9,-87.73,0.4689,-18.87,283.4,4.5,19.4,0.95,42.56,0.5234099999999999,0.0240099999999997,0.0169,21,92.22,154.68,4.29,0.0,107.01
17,2,elite,driver,0.955,2,1.0,0.93,0.9888,5.484157218967921,0.0,0,1,0,0,1150.8,0.2675,1.0,1.06,9,0,11.57,1.76,11.2,70.4,0.95,0.867,20.7,78.31,0.92,0,1.4724,0,1.0112,3.7831,0,0.948604397075236,-0.01579,5.285999999999987,0.8669999999999902,5.946470000000004,0,0.7407407407407407,2.8771,12.0,0.85,0.95,1.8114,0.0,0.9,-141.89,0.4335,-18.87,283.4,4.5,19.4,0.95,45.95,0.5194199999999999,0.0204199999999999,0.05105,21,90.33,154.19,5.14,0.0,105.36
18,2,elite,driver,0.955,2,1.0,0.93,0.9558,5.484157218967921,0.0,0,1,0,0,1150.8,0.2675,1.0,1.06,9,0,11.57,1.76,11.2,70.4,0.95,0.9733,23.83,88.5,0.92,0,1.4724,0,1.0112,3.7138,0,0.948604397075236,-0.01579,5.285999999999987,0.8669999999999902,5.946470000000004,0,0.7228915662650602,2.7095,12.0,0.85,0.95,2.1804,0.0,0.9,-144.64,0.4867,-18.87,283.4,4.5,19.4,0.95,50.99,0.52039,0.0242500000000001,0.06828,21,96.28,157.7,1.58,0.0,111.44
19,2,elite,driver,0.955,2,1.0,0.93,0.9066,5.484157218967921,0.0,0,1,0,0,1150.8,0.2675,1.0,1.06,9,0,11.57,1.76,11.2,70.4,0.95,0.8723,34.47,87.26,0.92,0,1.4724,0,1.0112,2.5315,0,0.948604397075236,-0.01579,5.285999999999987,0.8669999999999902,5.946470000000004,0,0.7317073170731707,2.2509,12.0,0.85,0.95,1.5719,0.0,0.9,-148.7,0.4361,-18.87,283.4,4.5,19.4,0.95,47.33,0.5213699999999999,0.02019,0.01708,21,95.58,159.42,1.17,0.0,114.55
20,2,elite,driver,0.955,2,1.0,0.93,0.9149,5.484157218967921,0.0,0,1,0,0,1150.8,0.2675,1.0,1.06,9,0,11.57,1.76,11.2,70.4,0.95,0.8563,32.24,86.73,0.92,0,1.4724,0,1.0112,2.6901,0,0.948604397075236,-0.01579,5.285999999999987,0.8669999999999902,5.946470000000004,0,0.6666666666666666,2.8876,12.0,0.85,0.95,1.782,0.0,0.9,-84.88,0.4281,-18.87,283.4,4.5,19.4,0.95,40.67,0.5205000000000001,0.0208899999999999,0.06745,21,93.93,158.23,4.0,0.0,108.33
21,3,elite,driver,1.0,2,1.0,0.93,0.9227,5.484157218967921,0.0,0,0,0,0,1099.7,0.1485,0.95,1.02,7,0,9.66,1.76,11.3,67.7,0.95,0.8601,26.61,86.6,0.92,0,1.3351,0,1.0009,3.2544,0,0.9608007270475588,0.0127599999999999,-0.0359999999999871,0.6160000000000078,27.13323000000002,0,0.7407407407407407,2.9051,25.8,0.9783,0.95,1.7783,0.0,0.9,-137.23,0.43,8.55,49.8,7.23,11.2,0.95,54.88,0.5196900000000001,0.0240400000000001,0.06826,19,91.57,152.71,5.24,0.0,109.59
22,3,elite,driver,1.0,2,1.0,0.93,0.9852,5.484157218967921,0.2,0,0,0,0,1099.7,0.1485,0.95,1.02,7,0,9.66,1.76,11.3,67.7,0.95,0.9282,34.86,88.3,0.92,0,1.3351,0,1.0009,2.533,1,0.9608007270475588,0.0127599999999999,-0.0359999999999871,0.6160000000000078,27.13323000000002,0,0.6666666666666666,2.4215,25.8,0.9783,0.95,2.084,0.0,0.9,-79.08,0.4177,8.55,49.8,7.23,11.2,0.95,43.95,0.5237899999999999,0.02297,0.03389,19,91.92,153.16,6.71,0.2883,107.98
23,3,elite,driver,1.0,2,1.0,0.93,0.9853,5.484157218967921,0.0,0,0,0,0,1099.7,0.1485,0.95,1.02,7,0,9.66,1.76,11.3,67.7,0.95,0.8579,24.24,80.23,0.92,0,1.3351,0,1.0009,3.3098,0,0.9608007270475588,0.0127599999999999,-0.0359999999999871,0.6160000000000078,27.13323000000002,0,0.7317073170731707,3.0682,25.8,0.9783,0.95,1.6785,0.0,0.9,-70.41,0.4289,8.55,49.8,7.23,11.2,0.95,47.24,0.52202,0.0264400000000001,0.05096,19,93.71,157.23,4.88,0.0,110.9
24,3,elite,driver,1.0,2,1.0,0.93,0.951,5.484157218967921,0.0,0,0,0,0,1099.7,0.1485,0.95,1.02,7,0,9.66,1.76,11.3,67.7,0.95,0.95,28.09,83.19,0.92,0,1.3351,0,1.0009,2.9616,0,0.9608007270475588,0.0127599999999999,-0.0359999999999871,0.6160000000000078,27.13323000000002,0,0.6741573033707865,2.8703,25.8,0.9783,0.95,1.9899,0.0,0.9,-57.14,0.475,8.55,49.8,7.23,11.2,0.95,49.55,0.5205700000000001,0.0208,0.01695,19,94.2,152.96,0.06,0.0,106.72
25,3,elite,driver,1.0,2,1.0,0.93,0.9538,5.484157218967921,0.0,0,0,0,0,1099.7,0.1485,0.95,1.02,7,0,9.66,1.76,11.3,67.7,0.95,0.919,24.74,80.07,0.92,0,1.3351,0,1.0009,3.2365,0,0.9608007270475588,0.0127599999999999,-0.0359999999999871,0.6160000000000078,27.13323000000002,0,0.7228915662650602,2.503,25.8,0.9783,0.95,2.2934,0.0,0.9,-95.64,0.4595,8.55,49.8,7.23,11.2,0.95,42.25,0.51913,0.0208399999999999,0.0,19,99.59,164.51,3.82,0.0,116.31
26,3,elite,driver,1.0,2,1.0,0.93,0.9831,5.484157218967921,0.0,0,0,0,0,1099.7,0.1485,0.95,1.02,7,0,9.66,1.76,11.3,67.7,0.95,0.8969,24.76,82.53,0.92,0,1.3351,0,1.0009,3.3332,0,0.9608007270475588,0.0127599999999999,-0.0359999999999871,0.6160000000000078,27.13323000000002,0,0.7692307692307692,3.4284,25.8,0.9783,0.95,1.5946,0.0,0.9,-110.15,0.4485,8.55,49.8,7.23,11.2,0.95,40.2,0.51656,0.02207,0.05128,19,91.74,148.23,3.35,0.0,110.13
27,3,elite,driver,1.0,2,1.0,0.93,0.9152,5.484157218967921,0.0,0,0,0,0,1099.7,0.1485,0.95,1.02,7,0,9.66,1.76,11.3,67.7,0.95,0.8576,31.6,75.06,0.92,0,1.3351,0,1.0009,2.3753,0,0.9608007270475588,0.0127599999999999,-0.0359999999999871,0.6160000000000078,27.13323000000002,0,0.7317073170731707,2.9602,25.8,0.9783,0.95,1.7386,0.0,0.9,-98.79,0.4288,8.55,49.8,7.23,11.2,0.95,43.38,0.52153,0.0321,0.05088,19,91.35,153.65,1.7,0.0,105.16
28,3,elite,driver,1.0,2,1.0,0.93,0.9095,5.484157218967921,0.2,0,0,0,0,1099.7,0.1485,0.95,1.02,7,0,9.66,1.76,11.3,67.7,0.95,0.9477,23.75,79.49,0.92,0,1.3351,1,1.0009,3.3469,0,0.9608007270475588,0.0127599999999999,-0.0359999999999871,0.6160000000000078,27.13323000000002,0,0.7142857142857143,2.7918,25.8,0.9783,0.95,2.0481,0.0,0.9,-112.91,0.4265,8.55,49.8,7.23,11.2,0.95,52.4,0.5182199999999999,0.0197399999999999,0.0,19,96.43,161.27,6.98,0.0,116.57
29,3,elite,driver,1.0,2,1.0,0.93,0.9699,5.484157218967921,0.0,0,0,0,0,1099.7,0.1485,0.95,1.02,7,0,9.66,1.76,11.3,67.7,0.95,0.9532,28.71,84.74,0.92,0,1.3351,0,1.0009,2.9516,0,0.9608007270475588,0.0127599999999999,-0.0359999999999871,0.6160000000000078,27.13323000000002,0,0.6818181818181819,2.4228,25.8,0.9783,0.95,2.1439,0.0,0.9,-128.21,0.4766,8.55,49.8,7.23,11.2,0.95,41.28,0.5204799999999999,0.0172099999999999,0.06767,19,102.31,166.99,0.25,0.0,118.21
30,3,elite,driver,1.0,2,1.0,0.93,0.9725,5.484157218967921,0.0,0,0,0,0,1099.7,0.1485,0.95,1.02,7,0,9.66,1.76,11.3,67.7,0.95,0.9129,24.81,89.5,0.92,0,1.3351,0,1.0009,3.6074,0,0.9608007270475588,0.0127599999999999,-0.0359999999999871,0.6160000000000078,27.13323000000002,0,0.6976744186046512,2.636,25.8,0.9783,0.95,2.1183,0.0,0.9,-101.64,0.4565,8.55,49.8,7.23,11.2,0.95,45.32,0.52243,0.0234599999999999,0.06785,19,89.34,152.26,0.34,0.0,107.82
31,4,elite,driver,1.0,2,1.0,0.93,0.906,1.545525543936606,0.0,0,1,0,0,44.4,0.232,1.0,1.06,9,0,11.55,1.71,15.9,35.7,0.95,0.9057,34.62,84.7,0.92,0,1.7015,0,1.0153,2.4466,0,0.9592259518811292,-0.01824,2.3500000000000085,2.2679999999999936,15.780779999999996,0,0.7058823529411764,2.2451,9.9,0.7804,0.95,1.6204,0.0,0.9,-104.51,0.4528,1.38,4.9,16.04,16.1,0.95,52.48,0.50889,0.0221700000000001,0.0338,25,100.06,171.08,3.38,0.0,119.55
32,4,elite,driver,1.0,2,1.0,0.93,0.9612,5.484157218967921,0.0,0,1,0,0,44.4,0.232,1.0,1.06,9,0,11.55,1.71,15.9,35.7,0.95,0.9594,22.44,84.86,0.92,0,1.7015,0,1.0153,3.7816,0,0.9592259518811292,-0.01824,2.3500000000000085,2.2679999999999936,15.780779999999996,0,0.7407407407407407,3.0838,9.9,0.7804,0.95,1.868,0.0,0.9,-114.36,0.4797,1.38,4.9,16.04,16.1,0.95,51.11,0.5084899999999999,0.01709,0.06777,25,99.7,172.47,3.31,0.0,119.15
33,4,elite,driver,1.0,2,1.0,0.93,0.9152,5.484157218967921,0.0,0,1,0,0,44.4,0.232,1.0,1.06,9,0,11.55,1.71,15.9,35.7,0.95,0.8583,32.07,79.06,0.92,0,1.7015,0,1.0153,2.4652,0,0.9592259518811292,-0.01824,2.3500000000000085,2.2679999999999936,15.780779999999996,0,0.7142857142857143,3.0514,9.9,0.7804,0.95,1.6882,0.0,0.9,-101.88,0.4291,1.38,4.9,16.04,16.1,0.95,50.42,0.5107900000000001,0.0191099999999999,0.06759,25,95.56,159.26,8.72,0.0,111.99
34,4,elite,driver,1.0,2,1.0,0.93,0.9872,5.484157218967921,0.2,0,1,0,0,44.4,0.232,1.0,1.06,9,0,11.55,1.71,15.9,35.7,0.95,0.9764,23.66,75.16,0.92,0,1.7015,0,1.0153,3.1767,0,0.9592259518811292,-0.01824,2.3500000000000085,2.2679999999999936,15.780779999999996,1,0.75,2.4444,9.9,0.7804,0.95,2.261,0.0,0.9,-72.23,0.4394,1.38,4.9,16.04,16.1,0.95,47.53,0.50477,0.01897,0.06805,25,92.73,156.35,4.9,0.1564,112.35
35,4,elite,driver,1.0,2,1.0,0.93,0.9773,5.484157218967921,0.0,0,1,0,0,44.4,0.232,1.0,1.06,9,0,11.55,1.71,15.9,35.7,0.95,0.9082,27.17,78.04,0.92,0,1.7015,0,1.0153,2.8723,0,0.9592259518811292,-0.01824,2.3500000000000085,2.2679999999999936,15.780779999999996,0,0.6666666666666666,2.2929,9.9,0.7804,0.95,1.7251,0.0,0.9,-117.88,0.4541,1.38,4.9,16.04,16.1,0.95,41.56,0.5112800000000001,0.0197700000000001,0.0849,25,95.42,160.74,0.76,0.0,110.05
36,4,elite,driver,1.0,2,1.0,0.93,0.939,5.484157218967921,0.0,0,1,0,0,44.4,0.232,1.0,1.06,9,0,11.55,1.71,15.9,35.7,0.95,0.9231,21.37,81.82,0.92,0,1.7015,0,1.0153,3.8287,0,0.9592259518811292,-0.01824,2.3500000000000085,2.2679999999999936,15.780779999999996,0,0.6593406593406593,2.2023,9.9,0.7804,0.95,1.5666,0.0,0.9,-91.21,0.4616,1.38,4.9,16.04,16.1,0.95,44.04,0.5086100000000001,0.0236,0.05062,25,90.0,144.68,2.75,0.0,109.05
37,4,elite,driver,1.0,2,1.0,0.93,0.9204,5.484157218967921,0.0,0,1,0,0,44.4,0.232,1.0,1.06,9,0,11.55,1.71,15.9,35.7,0.95,0.973,25.97,81.01,0.92,0,1.7015,0,1.0153,3.1194,0,0.9592259518811292,-0.01824,2.3500000000000085,2.2679999999999936,15.780779999999996,0,0.7407407407407407,2.3918,9.9,0.7804,0.95,2.1,0.0,0.9,-80.09,0.4865,1.38,4.9,16.04,16.1,0.95,45.7,0.50595,0.0195399999999998,0.01699,25,92.29,152.63,3.37,0.0,106.53
38,4,elite,driver,1.0,2,1.0,0.93,0.9275,5.484157218967921,0.2,0,1,1,0,44.4,0.232,1.0,1.06,9,0,11.55,1.71,15.9,35.7,0.95,0.8851,25.34,76.12,0.92,0,1.7015,0,1.0153,3.0039,0,0.9592259518811292,-0.01824,2.3500000000000085,2.2679999999999936,15.780779999999996,0,0.6666666666666666,2.8419,9.9,0.7804,0.95,1.8745,0.0,0.9,-56.41,0.3983,1.38,4.9,16.04,16.1,0.95,45.36,0.50999,0.02172,0.0843,25,92.35,154.58,6.46,0.1264,115.02
39,4,elite,driver,1.0,2,1.0,0.93,0.9132,5.484157218967921,0.0,0,1,0,0,44.4,0.232,1.0,1.06,9,0,11.55,1.71,15.9,35.7,0.95,0.9024,33.41,84.74,0.92,0,1.7015,0,1.0153,2.5364,0,0.9592259518811292,-0.01824,2.3500000000000085,2.2679999999999936,15.780779999999996,0,0.6896551724137931,2.8151,9.9,0.7804,0.95,1.9317,0.0,0.9,-73.37,0.4512,1.38,4.9,16.04,16.1,0.95,50.23,0.50752,0.01847,0.01703,25,99.19,165.55,4.74,0.0,117.41
40,4,elite,driver,1.0,2,1.0,0.93,0.9302,5.484157218967921,0.0,0,1,0,0,44.4,0.232,1.0,1.06,9,0,11.55,1.71,15.9,35.7,0.95,0.8672,25.21,75.64,0.92,0,1.7015,0,1.0153,3.0004,0,0.9592259518811292,-0.01824,2.3500000000000085,2.2679999999999936,15.780779999999996,0,0.7142857142857143,2.8388,9.9,0.7804,0.95,1.8388,0.0,0.9,-141.55,0.4336,1.38,4.9,16.04,16.1,0.95,53.28,0.51243,0.0226699999999999,0.0339,25,97.89,160.64,3.1,0.0,115.31
41,5,elite,driver,0.9475,2,1.0,0.93,0.9684,5.484157218967921,0.0,3,0,0,0,48.7,0.0349,0.95,1.02,7,0,11.9,1.66,14.7,35.0,0.95,0.8506,21.06,78.94,0.92,0,1.0051,0,0.9735,3.7483,0,0.9643276437559838,0.0047699999999999,0.2560000000000144,-2.589000000000017,22.71547000000001,0,0.6976744186046512,3.0816,20.7,0.9975,0.95,1.6573,0.0,0.9,-148.19,0.4253,2.8,93.2,-0.16,2.8,0.95,47.17,0.49567,0.0253000000000001,0.03407,19,95.72,161.55,4.3,0.0,114.91
42,5,elite,driver,0.9475,2,1.0,0.93,0.9418,5.484157218967921,0.0,3,0,0,0,48.7,0.0349,0.95,1.02,7,0,11.9,1.66,14.7,35.0,0.95,0.932,26.37,75.23,0.92,0,1.0051,0,0.9735,2.8529,0,0.9643276437559838,0.0047699999999999,0.2560000000000144,-2.589000000000017,22.71547000000001,0,0.7058823529411764,2.2097,20.7,0.9975,0.95,1.5961,0.0,0.9,-68.87,0.466,2.8,93.2,-0.16,2.8,0.95,42.93,0.49587,0.0211199999999999,0.01704,19,99.83,165.17,3.61,0.0,114.07
43,5,elite,driver,0.9475,2,1.0,0.93,0.9847,5.484157218967921,0.0,3,0,0,0,48.7,0.0349,0.95,1.02,7,0,11.9,1.66,14.7,35.0,0.95,0.9455,22.66,77.02,0.92,0,1.0051,0,0.9735,3.3989,0,0.9643276437559838,0.0047699999999999,0.2560000000000144,-2.589000000000017,22.71547000000001,0,0.6666666666666666,2.5795,20.7,0.9975,0.95,2.2593,0.0,0.9,-146.4,0.4728,2.8,93.2,-0.16,2.8,0.95,52.19,0.4932299999999999,0.01822,0.0,19,99.75,163.41,3.8,0.0,118.02
44,5,elite,driver,0.9475,2,1.0,0.93,0.9539,5.484157218967921,0.0,3,0,0,0,48.7,0.0349,0.95,1.02,7,0,11.9,1.66,14.7,35.0,0.95,0.897,28.2,75.26,0.92,0,1.0051,0,0.9735,2.6688,0,0.9643276437559838,0.0047699999999999,0.2560000000000144,-2.589000000000017,22.71547000000001,0,0.7142857142857143,2.6527,20.7,0.9975,0.95,2.0643,0.0,0.9,-85.34,0.4485,2.8,93.2,-0.16,2.8,0.95,54.0,0.4931599999999999,0.01963,0.034,19,88.23,150.89,4.48,0.0,105.05
