swing_id,golfer_id,skill_level,age,years_experience,gender,height_m,fitness_level,dominant_hand,temperature_c,wind_speed_mph,wind_direction_deg,humidity_pct,elevation_m,hour_of_day,course_type,green_speed_stimp,club_type,kinematic_sequence_score,kinematic_sequence_confidence,lag_angle_mid_downswing,lag_angle_impact,lag_confidence,xfactor_degrees,xfactor_confidence,weight_transfer_timing_ms,weight_transfer_confidence,club_path_consistency,club_path_confidence,swing_tempo_ratio,tempo_confidence,early_cast_flag,reverse_pivot_flag,sway_flag,early_extension_flag,over_top_flag,clubhead_speed_mph,ball_speed_mph,carry_distance_yards,offline_yards,injury_risk_score,compensation_count,compensation_severity
11,2,elite,31,21,F,1.76,9,right,12.0,19.4,283.4,70.4,1150.8,11.2,parkland,11.57,driver,0.9738,0.95,89.61,26.05,0.92,52.65,0.95,-82.74,0.9,0.9383,0.93,2.5302,0.95,0,0,0,0,0,115.18,97.96,164.34,2.5,0.0,0,0.0
12,2,elite,31,21,F,1.76,9,right,12.0,19.4,283.4,70.4,1150.8,11.2,parkland,11.57,driver,0.874,0.95,88.49,22.7,0.92,53.1,0.95,-137.5,0.9,0.9034,0.93,2.6298,0.95,0,0,0,1,0,108.53,91.64,151.82,7.64,0.1783,1,0.2
13,2,elite,31,21,F,1.76,9,right,12.0,19.4,283.4,70.4,1150.8,11.2,parkland,11.57,driver,0.8987,0.95,81.77,27.63,0.92,54.33,0.95,-105.27,0.9,0.921,0.93,2.8877,0.95,0,0,0,0,0,119.85,101.98,174.68,2.53,0.0,0,0.0
14,2,elite,31,21,F,1.76,9,right,12.0,19.4,283.4,70.4,1150.8,11.2,parkland,11.57,driver,0.9149,0.95,89.24,28.86,0.92,53.43,0.95,-144.67,0.9,0.9556,0.93,2.402,0.95,0,0,0,0,0,118.03,100.09,165.64,5.37,0.0,0,0.0
15,2,elite,31,21,F,1.76,9,right,12.0,19.4,283.4,70.4,1150.8,11.2,parkland,11.57,driver,0.8641,0.95,80.3,32.63,0.92,54.46,0.95,-96.19,0.9,0.9441,0.93,3.1455,0.95,0,0,0,0,0,118.22,103.1,176.15,2.98,0.0,0,0.0
16,2,elite,31,21,F,1.76,9,right,12.0,19.4,283.4,70.4,1150.8,11.2,parkland,11.57,driver,0.9379,0.95,81.29,32.62,0.92,42.56,0.95,-87.73,0.9,0.9682,0.93,2.8424,0.95,0,0,0,0,0,107.01,92.22,154.68,4.29,0.0,0,0.0
17,2,elite,31,21,F,1.76,9,right,12.0,19.4,283.4,70.4,1150.8,11.2,parkland,11.57,driver,0.867,0.95,78.31,20.7,0.92,45.95,0.95,-141.89,0.9,0.9888,0.93,2.8771,0.95,0,0,0,0,0,105.36,90.33,154.19,5.14,0.0,0,0.0
18,2,elite,31,21,F,1.76,9,right,12.0,19.4,283.4,70.4,1150.8,11.2,parkland,11.57,driver,0.9733,0.95,88.5,23.83,0.92,50.99,0.95,-144.64,0.9,0.9558,0.93,2.7095,0.95,0,0,0,0,0,111.44,96.28,157.7,1.58,0.0,0,0.0
19,2,elite,31,21,F,1.76,9,right,12.0,19.4,283.4,70.4,1150.8,11.2,parkland,11.57,driver,0.8723,0.95,87.26,34.47,0.92,47.33,0.95,-148.7,0.9,0.9066,0.93,2.2509,0.95,0,0,0,0,0,114.55,95.58,159.42,1.17,0.0,0,0.0
20,2,elite,31,21,F,1.76,9,right,12.0,19.4,283.4,70.4,1150.8,11.2,parkland,11.57,driver,0.8563,0.95,86.73,32.24,0.92,40.67,0.95,-84.88,0.9,0.9149,0.93,2.8876,0.95,0,0,0,0,0,108.33,93.93,158.23,4.0,0.0,0,0.0
21,3,elite,24,19,F,1.76,7,left,25.8,11.2,49.8,67.7,1099.7,11.3,parkland,9.66,driver,0.8601,0.95,86.6,26.61,0.92,54.88,0.95,-137.23,0.9,0.9227,0.93,2.9051,0.95,0,0,0,0,0,109.59,91.57,152.71,5.24,0.0,0,0.0
22,3,elite,24,19,F,1.76,7,left,25.8,11.2,49.8,67.7,1099.7,11.3,parkland,9.66,driver,0.9282,0.95,88.3,34.86,0.92,43.95,0.95,-79.08,0.9,0.9852,0.93,2.4215,0.95,0,1,0,0,0,107.98,91.92,153.16,6.71,0.2883,1,0.2
23,3,elite,24,19,F,1.76,7,left,25.8,11.2,49.8,67.7,1099.7,11.3,parkland,9.66,driver,0.8579,0.95,80.23,24.24,0.92,47.24,0.95,-70.41,0.9,0.9853,0.93,3.0682,0.95,0,0,0,0,0,110.9,93.71,157.23,4.88,0.0,0,0.0
24,3,elite,24,19,F,1.76,7,left,25.8,11.2,49.8,67.7,1099.7,11.3,parkland,9.66,driver,0.95,0.95,83.19,28.09,0.92,49.55,0.95,-57.14,0.9,0.951,0.93,2.8703,0.95,0,0,0,0,0,106.72,94.2,152.96,0.06,0.0,0,0.0
25,3,elite,24,19,F,1.76,7,left,25.8,11.2,49.8,67.7,1099.7,11.3,parkland,9.66,driver,0.919,0.95,80.07,24.74,0.92,42.25,0.95,-95.64,0.9,0.9538,0.93,2.503,0.95,0,0,0,0,0,116.31,99.59,164.51,3.82,0.0,0,0.0
26,3,elite,24,19,F,1.76,7,left,25.8,11.2,49.8,67.7,1099.7,11.3,parkland,9.66,driver,0.8969,0.95,82.53,24.76,0.92,40.2,0.95,-110.15,0.9,0.9831,0.93,3.4284,0.95,0,0,0,0,0,110.13,91.74,148.23,3.35,0.0,0,0.0
27,3,elite,24,19,F,1.76,7,left,25.8,11.2,49.8,67.7,1099.7,11.3,parkland,9.66,driver,0.8576,0.95,75.06,31.6,0.92,43.38,0.95,-98.79,0.9,0.9152,0.93,2.9602,0.95,0,0,0,0,0,105.16,91.35,153.65,1.7,0.0,0,0.0
28,3,elite,24,19,F,1.76,7,left,25.8,11.2,49.8,67.7,1099.7,11.3,parkland,9.66,driver,0.9477,0.95,79.49,23.75,0.92,52.4,0.95,-112.91,0.9,0.9095,0.93,2.7918,0.95,0,0,0,0,1,116.57,96.43,161.27,6.98,0.0,1,0.2
29,3,elite,24,19,F,1.76,7,left,25.8,11.2,49.8,67.7,1099.7,11.3,parkland,9.66,driver,0.9532,0.95,84.74,28.71,0.92,41.28,0.95,-128.21,0.9,0.9699,0.93,2.4228,0.95,0,0,0,0,0,118.21,102.31,166.99,0.25,0.0,0,0.0
30,3,elite,24,19,F,1.76,7,left,25.8,11.2,49.8,67.7,1099.7,11.3,parkland,9.66,driver,0.9129,0.95,89.5,24.81,0.92,45.32,0.95,-101.64,0.9,0.9725,0.93,2.636,0.95,0,0,0,0,0,107.82,89.34,152.26,0.34,0.0,0,0.0
31,4,elite,25,25,F,1.71,9,right,9.9,16.1,4.9,35.7,44.4,15.9,parkland,11.55,driver,0.9057,0.95,84.7,34.62,0.92,52.48,0.95,-104.51,0.9,0.906,0.93,2.2451,0.95,0,0,0,0,0,119.55,100.06,171.08,3.38,0.0,0,0.0
32,4,elite,25,25,F,1.71,9,right,9.9,16.1,4.9,35.7,44.4,15.9,parkland,11.55,driver,0.9594,0.95,84.86,22.44,0.92,51.11,0.95,-114.36,0.9,0.9612,0.93,3.0838,0.95,0,0,0,0,0,119.15,99.7,172.47,3.31,0.0,0,0.0
33,4,elite,25,25,F,1.71,9,right,9.9,16.1,4.9,35.7,44.4,15.9,parkland,11.55,driver,0.8583,0.95,79.06,32.07,0.92,50.42,0.95,-101.88,0.9,0.9152,0.93,3.0514,0.95,0,0,0,0,0,111.99,95.56,159.26,8.72,0.0,0,0.0
34,4,elite,25,25,F,1.71,9,right,9.9,16.1,4.9,35.7,44.4,15.9,parkland,11.55,driver,0.9764,0.95,75.16,23.66,0.92,47.53,0.95,-72.23,0.9,0.9872,0.93,2.4444,0.95,0,0,1,0,0,112.35,92.73,156.35,4.9,0.1564,1,0.2
35,4,elite,25,25,F,1.71,9,right,9.9,16.1,4.9,35.7,44.4,15.9,parkland,11.55,driver,0.9082,0.95,78.04,27.17,0.92,41.56,0.95,-117.88,0.9,0.9773,0.93,2.2929,0.95,0,0,0,0,0,110.05,95.42,160.74,0.76,0.0,0,0.0
36,4,elite,25,25,F,1.71,9,right,9.9,16.1,4.9,35.7,44.4,15.9,parkland,11.55,driver,0.9231,0.95,81.82,21.37,0.92,44.04,0.95,-91.21,0.9,0.939,0.93,2.2023,0.95,0,0,0,0,0,109.05,90.0,144.68,2.75,0.0,0,0.0
37,4,elite,25,25,F,1.71,9,right,9.9,16.1,4.9,35.7,44.4,15.9,parkland,11.55,driver,0.973,0.95,81.01,25.97,0.92,45.7,0.95,-80.09,0.9,0.9204,0.93,2.3918,0.95,0,0,0,0,0,106.53,92.29,152.63,3.37,0.0,0,0.0
38,4,elite,25,25,F,1.71,9,right,9.9,16.1,4.9,35.7,44.4,15.9,parkland,11.55,driver,0.8851,0.95,76.12,25.34,0.92,45.36,0.95,-56.41,0.9,0.9275,0.93,2.8419,0.95,1,0,0,0,0,115.02,92.35,154.58,6.46,0.1264,1,0.2
39,4,elite,25,25,F,1.71,9,right,9.9,16.1,4.9,35.7,44.4,15.9,parkland,11.55,driver,0.9024,0.95,84.74,33.41,0.92,50.23,0.95,-73.37,0.9,0.9132,0.93,2.8151,0.95,0,0,0,0,0,117.41,99.19,165.55,4.74,0.0,0,0.0
40,4,elite,25,25,F,1.71,9,right,9.9,16.1,4.9,35.7,44.4,15.9,parkland,11.55,driver,0.8672,0.95,75.64,25.21,0.92,53.28,0.95,-141.55,0.9,0.9302,0.93,2.8388,0.95,0,0,0,0,0,115.31,97.89,160.64,3.1,0.0,0,0.0
41,5,elite,32,19,F,1.66,7,left,20.7,2.8,93.2,35.0,48.7,14.7,mountain,11.9,driver,0.8506,0.95,78.94,21.06,0.92,47.17,0.95,-148.19,0.9,0.9684,0.93,3.0816,0.95,0,0,0,0,0,114.91,95.72,161.55,4.3,0.0,0,0.0
42,5,elite,32,19,F,1.66,7,left,20.7,2.8,93.2,35.0,48.7,14.7,mountain,11.9,driver,0.932,0.95,75.23,26.37,0.92,42.93,0.95,-68.87,0.9,0.9418,0.93,2.2097,0.95,0,0,0,0,0,114.07,99.83,165.17,3.61,0.0,0,0.0
43,5,elite,32,19,F,1.66,7,left,20.7,2.8,93.2,35.0,48.7,14.7,mountain,11.9,driver,0.9455,0.95,77.02,22.66,0.92,52.19,0.95,-146.4,0.9,0.9847,0.93,2.5795,0.95,0,0,0,0,0,118.02,99.75,163.41,3.8,0.0,0,0.0
44,5,elite,32,19,F,1.66,7,left,20.7,2.8,93.2,35.0,48.7,14.7,mountain,11.9,driver,0.897,0.95,75.26,28.2,0.92,54.0,0.95,-85.34,0.9,0.9539,0.93,2.6527,0.95,0,0,0,0,0,105.05,88.23,150.89,4.48,0.0,0,0.0
45,5,elite,32,19,F,1.66,7,left,20.7,2.8,93.2,35.0,48.7,14.7,mountain,11.9,driver,0.8875,0.95,84.76,23.76,0.92,45.66,0.95,-70.94,0.9,0.9487,0.93,3.1578,0.95,0,0,0,0,0,117.28,102.66,169.7,2.39,0.0,0,0.0
46,5,elite,32,19,F,1.66,7,left,20.7,2.8,93.2,35.0,48.7,14.7,mountain,11.9,driver,0.8801,0.95,86.04,22.27,0.92,45.38,0.95,-56.78,0.9,0.9452,0.93,2.2171,0.95,0,0,0,0,0,119.92,101.67,172.04,2.27,0.0,0,0.0
47,5,elite,32,19,F,1.66,7,left,20.7,2.8,93.2,35.0,48.7,14.7,mountain,11.9,driver,0.9762,0.95,82.68,22.26,0.92,46.24,0.95,-102.56,0.9,0.9621,0.93,3.1369,0.95,0,0,0,0,0,114.61,99.26,168.18,2.72,0.0,0,0.0
48,5,elite,32,19,F,1.66,7,left,20.7,2.8,93.2,35.0,48.7,14.7,mountain,11.9,driver,0.9511,0.95,76.42,21.47,0.92,50.7,0.95,-91.84,0.9,0.9754,0.93,2.7051,0.95,0,0,0,0,0,118.34,100.17,167.46,2.19,0.0,0,0.0
49,5,elite,32,19,F,1.66,7,left,20.7,2.8,93.2,35.0,48.7,14.7,mountain,11.9,driver,0.9233,0.95,86.64,31.73,0.92,41.2,0.95,-56.84,0.9,0.9489,0.93,2.7282,0.95,0,0,0,0,0,106.12,90.91,154.94,3.79,0.0,0,0.0
50,5,elite,32,19,F,1.66,7,left,20.7,2.8,93.2,35.0,48.7,14.7,mountain,11.9,driver,0.9304,0.95,84.26,29.38,0.92,50.85,0.95,-126.43,0.9,0.969,0.93,2.3349,0.95,0,0,0,0,1,110.99,92.9,150.36,6.46,0.0,1,0.2
51,6,elite,22,25,M,1.83,9,right,34.6,12.5,197.7,64.9,325.6,16.6,parkland,11.61,driver,0.8817,0.95,89.3,26.88,0.92,48.03,0.95,-82.8,0.9,0.9107,0.93,2.4431,0.95,0,0,0,0,0,115.87,98.1,160.71,3.31,0.0,0,0.0
52,6,elite,22,25,M,1.83,9,right,34.6,12.5,197.7,64.9,325.6,16.6,parkland,11.61,driver,0.9,0.95,87.23,26.94,0.92,53.12,0.95,-64.88,0.9,0.9799,0.93,2.2668,0.95,0,0,0,0,0,109.77,93.41,154.2,6.76,0.0,0,0.0
53,6,elite,22,25,M,1.83,9,right,34.6,12.5,197.7,64.9,325.6,16.6,parkland,11.61,driver,0.9,0.95,86.31,24.67,0.92,45.42,0.95,-145.85,0.9,0.9495,0.93,2.9932,0.95,0,0,0,0,0,108.83,88.54,149.49,1.99,0.0,0,0.0
54,6,elite,22,25,M,1.83,9,right,34.6,12.5,197.7,64.9,325.6,16.6,parkland,11.61,driver,0.8654,0.95,80.07,29.68,0.92,49.31,0.95,-67.95,0.9,0.946,0.93,2.8876,0.95,0,0,0,1,0,106.42,89.88,148.39,7.04,0.2276,1,0.2
55,6,elite,22,25,M,1.83,9,right,34.6,12.5,197.7,64.9,325.6,16.6,parkland,11.61,driver,0.927,0.95,88.29,27.18,0.92,54.16,0.95,-120.97,0.9,0.9222,0.93,2.2445,0.95,0,0,0,0,0,118.69,96.2,160.08,3.81,0.0,0,0.0
56,6,elite,22,25,M,1.83,9,right,34.6,12.5,197.7,64.9,325.6,16.6,parkland,11.61,driver,0.8598,0.95,81.17,23.95,0.92,40.99,0.95,-57.23,0.9,0.9463,0.93,2.2245,0.95,0,0,0,0,0,107.41,88.68,146.25,4.03,0.0,0,0.0
57,6,elite,22,25,M,1.83,9,right,34.6,12.5,197.7,64.9,325.6,16.6,parkland,11.61,driver,0.9538,0.95,76.38,33.63,0.92,50.79,0.95,-62.41,0.9,0.9502,0.93,2.8797,0.95,0,0,0,0,0,117.54,95.46,154.01,3.62,0.0,0,0.0
58,6,elite,22,25,M,1.83,9,right,34.6,12.5,197.7,64.9,325.6,16.6,parkland,11.61,driver,0.8623,0.95,86.34,28.28,0.92,54.19,0.95,-77.3,0.9,0.9558,0.93,2.0521,0.95,0,0,0,0,0,107.52,90.8,150.82,3.88,0.0,0,0.0
59,6,elite,22,25,M,1.83,9,right,34.6,12.5,197.7,64.9,325.6,16.6,parkland,11.61,driver,0.8777,0.95,79.18,25.67,0.92,47.09,0.95,-98.53,0.9,0.9319,0.93,2.6603,0.95,0,0,0,0,0,113.23,94.81,162.99,6.34,0.0,0,0.0
60,6,elite,22,25,M,1.83,9,right,34.6,12.5,197.7,64.9,325.6,16.6,parkland,11.61,driver,0.969,0.95,89.13,22.48,0.92,44.37,0.95,-78.84,0.9,0.959,0.93,2.4944,0.95,0,0,0,0,0,107.05,90.43,147.88,2.12,0.0,0,0.0
61,7,elite,33,17,M,1.85,8,right,14.1,6.5,61.0,31.2,497.8,10.9,links,9.45,driver,0.9289,0.95,83.71,26.58,0.92,47.14,0.95,-77.15,0.9,0.9697,0.93,2.5467,0.95,0,0,0,0,0,116.59,94.5,155.25,3.07,0.0,0,0.0
62,7,elite,33,17,M,1.85,8,right,14.1,6.5,61.0,31.2,497.8,10.9,links,9.45,driver,0.9631,0.95,85.48,22.93,0.92,49.41,0.95,-88.87,0.9,0.9262,0.93,2.8717,0.95,0,0,0,0,0,115.93,99.28,165.71,0.9,0.0,0,0.0
63,7,elite,33,17,M,1.85,8,right,14.1,6.5,61.0,31.2,497.8,10.9,links,9.45,driver,0.9317,0.95,76.54,22.08,0.92,47.65,0.95,-56.84,0.9,0.9756,0.93,2.7419,0.95,0,0,0,0,0,109.58,91.3,154.46,3.17,0.0,0,0.0
64,7,elite,33,17,M,1.85,8,right,14.1,6.5,61.0,31.2,497.8,10.9,links,9.45,driver,0.9566,0.95,82.3,32.37,0.92,40.12,0.95,-128.56,0.9,0.9424,0.93,2.8883,0.95,0,0,0,0,0,114.54,98.12,159.85,2.63,0.0,0,0.0
65,7,elite,33,17,M,1.85,8,right,14.1,6.5,61.0,31.2,497.8,10.9,links,9.45,driver,0.859,0.95,83.48,29.83,0.92,54.13,0.95,-148.87,0.9,0.9005,0.93,2.3721,0.95,0,0,0,0,0,115.64,96.0,159.74,6.48,0.0,0,0.0
66,7,elite,33,17,M,1.85,8,right,14.1,6.5,61.0,31.2,497.8,10.9,links,9.45,driver,0.8654,0.95,87.93,34.59,0.92,41.81,0.95,-68.7,0.9,0.9376,0.93,2.434,0.95,1,0,0,0,0,105.09,88.41,149.35,8.03,0.1032,1,0.2
67,7,elite,33,17,M,1.85,8,right,14.1,6.5,61.0,31.2,497.8,10.9,links,9.45,driver,0.8703,0.95,77.09,23.53,0.92,44.7,0.95,-52.45,0.9,0.9406,0.93,3.1593,0.95,0,0,0,0,0,113.07,94.62,154.51,4.27,0.0,0,0.0
68,7,elite,33,17,M,1.85,8,right,14.1,6.5,61.0,31.2,497.8,10.9,links,9.45,driver,0.9428,0.95,87.38,28.8,0.92,54.03,0.95,-68.34,0.9,0.9136,0.93,2.6278,0.95,0,0,0,0,0,117.03,98.1,164.08,3.03,0.0,0,0.0
69,7,elite,33,17,M,1.85,8,right,14.1,6.5,61.0,31.2,497.8,10.9,links,9.45,driver,0.8906,0.95,87.46,29.65,0.92,49.74,0.95,-78.19,0.9,0.9785,0.93,3.0177,0.95,0,0,0,0,0,114.51,98.53,167.88,3.29,0.0,0,0.0
70,7,elite,33,17,M,1.85,8,right,14.1,6.5,61.0,31.2,497.8,10.9,links,9.45,driver,0.8583,0.95,76.7,28.41,0.92,45.44,0.95,-132.87,0.9,0.9669,0.93,2.8149,0.95,0,0,0,0,0,106.11,93.75,156.07,3.8,0.0,0,0.0
71,8,elite,28,16,F,1.58,8,right,20.6,6.7,68.2,47.0,58.4,12.3,links,8.05,driver,0.8559,0.95,86.2,32.08,0.92,40.18,0.95,-149.93,0.9,0.9891,0.93,2.5113,0.95,0,0,0,0,1,110.88,93.43,150.94,7.35,0.0,1,0.2
72,8,elite,28,16,F,1.58,8,right,20.6,6.7,68.2,47.0,58.4,12.3,links,8.05,driver,0.9609,0.95,75.2,29.78,0.92,40.87,0.95,-99.28,0.9,0.9557,0.93,2.7757,0.95,0,0,0,0,0,108.55,91.18,161.35,3.18,0.0,0,0.0
73,8,elite,28,16,F,1.58,8,right,20.6,6.7,68.2,47.0,58.4,12.3,links,8.05,driver,0.9331,0.95,84.6,31.71,0.92,50.32,0.95,-146.33,0.9,0.9298,0.93,2.6065,0.95,0,1,0,0,0,108.73,91.34,155.31,7.53,0.1805,1,0.2
74,8,elite,28,16,F,1.58,8,right,20.6,6.7,68.2,47.0,58.4,12.3,links,8.05,driver,0.9085,0.95,79.8,27.6,0.92,53.53,0.95,-97.2,0.9,0.9889,0.93,2.6768,0.95,0,0,0,0,0,111.33,95.12,157.48,1.66,0.0,0,0.0
75,8,elite,28,16,F,1.58,8,right,20.6,6.7,68.2,47.0,58.4,12.3,links,8.05,driver,0.8518,0.95,78.16,25.0,0.92,45.72,0.95,-52.17,0.9,0.927,0.93,2.3231,0.95,0,1,0,0,0,118.69,100.61,173.52,6.43,0.199,1,0.2
76,8,elite,28,16,F,1.58,8,right,20.6,6.7,68.2,47.0,58.4,12.3,links,8.05,driver,0.9676,0.95,76.97,20.81,0.92,51.96,0.95,-132.3,0.9,0.9291,0.93,2.6382,0.95,0,0,0,0,0,107.37,90.44,151.48,0.94,0.0,0,0.0
77,8,elite,28,16,F,1.58,8,right,20.6,6.7,68.2,47.0,58.4,12.3,links,8.05,driver,0.8788,0.95,83.88,23.84,0.92,44.32,0.95,-84.13,0.9,0.9313,0.93,2.3211,0.95,0,0,0,0,0,106.78,89.84,152.2,3.95,0.0,0,0.0
78,8,elite,28,16,F,1.58,8,right,20.6,6.7,68.2,47.0,58.4,12.3,links,8.05,driver,0.9,0.95,76.53,32.58,0.92,41.31,0.95,-144.82,0.9,0.9544,0.93,2.671,0.95,0,0,0,0,0,110.1,91.17,154.1,1.35,0.0,0,0.0
79,8,elite,28,16,F,1.58,8,right,20.6,6.7,68.2,47.0,58.4,12.3,links,8.05,driver,0.9147,0.95,75.57,33.58,0.92,48.16,0.95,-101.73,0.9,0.9758,0.93,2.7249,0.95,0,0,0,0,0,118.16,99.09,163.96,2.51,0.0,0,0.0
80,8,elite,28,16,F,1.58,8,right,20.6,6.7,68.2,47.0,58.4,12.3,links,8.05,driver,0.943,0.95,75.63,32.97,0.92,41.16,0.95,-106.76,0.9,0.9492,0.93,3.1251,0.95,0,0,1,0,0,109.13,90.36,153.72,4.34,0.2338,1,0.2
81,9,elite,24,25,M,1.79,7,right,31.3,21.0,45.9,74.4,33.4,12.3,parkland,8.82,driver,0.9364,0.95,76.76,32.06,0.92,40.29,0.95,-104.13,0.9,0.9889,0.93,3.3424,0.95,0,0,0,0,0,116.51,97.7,166.51,0.0,0.0,0,0.0
82,9,elite,24,25,M,1.79,7,right,31.3,21.0,45.9,74.4,33.4,12.3,parkland,8.82,driver,0.9777,0.95,81.22,24.21,0.92,41.62,0.95,-102.13,0.9,0.9217,0.93,2.8151,0.95,0,0,0,0,0,113.66,95.25,156.95,2.55,0.0,0,0.0
83,9,elite,24,25,M,1.79,7,right,31.3,21.0,45.9,74.4,33.4,12.3,parkland,8.82,driver,0.8751,0.95,86.35,31.0,0.92,50.49,0.95,-145.19,0.9,0.9775,0.93,3.0754,0.95,0,0,0,0,0,107.84,89.61,145.45,1.71,0.0,0,0.0
84,9,elite,24,25,M,1.79,7,right,31.3,21.0,45.9,74.4,33.4,12.3,parkland,8.82,driver,0.9221,0.95,76.4,32.03,0.92,54.34,0.95,-89.52,0.9,0.909,0.93,2.5018,0.95,0,0,0,0,1,107.79,95.08,157.78,4.9,0.0,1,0.2
85,9,elite,24,25,M,1.79,7,right,31.3,21.0,45.9,74.4,33.4,12.3,parkland,8.82,driver,0.8803,0.95,88.4,21.69,0.92,40.81,0.95,-106.79,0.9,0.9663,0.93,2.7904,0.95,0,0,0,0,0,112.69,93.72,155.0,3.28,0.0,0,0.0
86,9,elite,24,25,M,1.79,7,right,31.3,21.0,45.9,74.4,33.4,12.3,parkland,8.82,driver,0.9432,0.95,82.7,29.46,0.92,42.78,0.95,-143.64,0.9,0.9751,0.93,2.8455,0.95,0,0,0,0,0,118.7,99.29,164.82,2.52,0.0,0,0.0
87,9,elite,24,25,M,1.79,7,right,31.3,21.0,45.9,74.4,33.4,12.3,parkland,8.82,driver,0.899,0.95,86.42,24.06,0.92,53.9,0.95,-100.86,0.9,0.9854,0.93,2.6901,0.95,0,0,0,0,0,107.59,93.75,157.96,1.63,0.0,0,0.0
88,9,elite,24,25,M,1.79,7,right,31.3,21.0,45.9,74.4,33.4,12.3,parkland,8.82,driver,0.8874,0.95,83.95,22.14,0.92,40.95,0.95,-59.73,0.9,0.9736,0.93,2.5589,0.95,0,0,0,0,0,111.65,92.86,154.92,6.41,0.0,0,0.0
89,9,elite,24,25,M,1.79,7,right,31.3,21.0,45.9,74.4,33.4,12.3,parkland,8.82,driver,0.9167,0.95,81.6,20.61,0.92,45.65,0.95,-70.07,0.9,0.9062,0.93,3.2844,0.95,0,0,0,0,0,105.97,91.03,154.46,3.2,0.0,0,0.0
90,9,elite,24,25,M,1.79,7,right,31.3,21.0,45.9,74.4,33.4,12.3,parkland,8.82,driver,0.9481,0.95,76.07,21.21,0.92,51.8,0.95,-64.08,0.9,0.927,0.93,2.8001,0.95,0,0,0,0,0,109.34,90.07,152.23,3.87,0.0,0,0.0
